clan_id,ime,prezime,pol,datum_rodjenja,email,datum_uclanjenja
53135,Aleksandar,Marković,N,1990-08-07,clan-53135@seds.data,2017-11-26
53137,Milica,Jovanović,Ž,1951-05-28,clan-53137@seds.data,2016-08-31
53138,Marija,Marković,N,1980-02-26,clan-53138@seds.data,2017-09-17
53139,Tamara,Pavlović,Ž,1951-09-22,clan-53139@seds.data,2017-11-09
53140,Tamara,Marković,Ž,1980-07-15,clan-53140@seds.data,2017-10-13
53142,Jelena,Nikolić,Ž,1998-10-28,clan-53142@seds.data,2017-05-21
53143,Jelena,Ilić,Ž,1998-09-04,clan-53143@seds.data,2017-10-23
53144,Jelena,Petrović,Ž,1960-12-04,clan-53144@seds.data,2017-11-26
53146,Ana,Nikolić,Ž,1990-05-02,clan-53146@seds.data,2017-06-14
53147,Aleksandar,Ilić,M,1990-02-16,clan-53147@seds.data,2017-01-29
53148,Nikola,Nikolić,M,1970-05-23,clan-53148@seds.data,2017-09-21
53149,Marija,Petrović,Ž,1990-10-02,clan-53149@seds.data,2016-07-28
53150,Stefan,Petrović,M,1990-11-26,clan-53150@seds.data,2017-07-26
53151,Jelena,Marković,Ž,1990-03-21,clan-53151@seds.data,2017-04-12
53152,Marko,Stojanović,M,1970-05-13,clan-53152@seds.data,2017-07-17
53153,Aleksandar,Ilić,M,1980-12-03,clan-53153@seds.data,2017-08-08
53154,Ivana,Stojanović,Ž,1998-09-14,clan-53154@seds.data,2016-07-19
53155,Milan,Stojanović,M,1998-01-28,clan-53155@seds.data,2016-07-10
53156,Tamara,Marković,Ž,1960-11-22,clan-53156@seds.data,2017-03-31
53157,Milica,Pavlović,Ž,1951-07-13,clan-53157@seds.data,2017-06-14
53158,Marija,Petrović,Ž,1970-11-28,clan-53158@seds.data,2016-09-02
53159,Aleksandar,Stojanović,M,1970-11-02,clan-53159@seds.data,2018-02-12
53161,Jelena,Nikolić,Ž,1990-06-11,clan-53161@seds.data,2018-02-11
53162,Ivana,Pavlović,Ž,1980-12-17,clan-53162@seds.data,2016-04-25
53163,Ana,Nikolić,Ž,1951-12-18,clan-53163@seds.data,2016-12-08
53164,Jelena,Stojanović,Ž,1980-10-02,clan-53164@seds.data,2017-12-07
53165,Milan,Jovanović,M,1998-10-07,clan-53165@seds.data,2016-05-19
53166,Jelena,Marković,Ž,1998-01-28,clan-53166@seds.data,2017-04-20
53167,Jelena,Stojanović,Ž,1998-12-17,clan-53167@seds.data,2016-11-08
53168,Nikola,Stojanović,M,1990-09-20,clan-53168@seds.data,2018-01-30
53170,Marija,Petrović,Ž,1998-06-11,clan-53170@seds.data,2016-05-28
53171,Jelena,Jovanović,Ž,1998-05-18,clan-53171@seds.data,2017-08-02
53172,Stefan,Jovanović,M,1998-05-10,clan-53172@seds.data,2017-05-20
53174,Marija,Marković,Ž,1998-12-27,clan-53174@seds.data,2016-12-03
53175,Milica,Marković,Ž,1990-04-12,clan-53175@seds.data,2017-07-26
53176,Stefan,Ilić,M,1998-06-11,clan-53176@seds.data,2017-10-12
53177,Marija,Nikolić,Ž,1960-09-11,clan-53177@seds.data,2017-09-18
53178,Milica,Petrović,Ž,1998-07-23,clan-53178@seds.data,2017-09-13
53179,Luka,Nikolić,M,1960-09-19,clan-53179@seds.data,2016-06-02
53180,Jelena,Petrović,Ž,1998-10-13,clan-53180@seds.data,2016-04-13
53181,Aleksandar,Jovanović,M,1970-06-07,clan-53181@seds.data,2016-11-12
53182,Aleksandar,Stojanović,M,1998-07-11,clan-53182@seds.data,2016-07-31
53183,Tamara,Petrović,Ž,1970-09-15,clan-53183@seds.data,2016-03-30
53184,Ana,Stojanović,Ž,1990-06-29,clan-53184@seds.data,2017-03-11
53185,Ana,Stojanović,Ž,1951-11-12,clan-53185@seds.data,2017-10-23
53186,Milica,Jovanović,Ž,1960-06-05,clan-53186@seds.data,2016-07-19
53187,Jelena,Nikolić,Ž,1951-04-23,clan-53187@seds.data,2017-03-12
53188,Jelena,Stojanović,Ž,1998-08-12,clan-53188@seds.data,2017-09-22
53189,Jelena,Pavlović,Ž,1970-05-25,clan-53189@seds.data,2017-02-04
53190,Stefan,Stojanović,M,1990-10-27,clan-53190@seds.data,2016-07-04
53191,Milica,Ilić,Ž,1990-03-28,clan-53191@seds.data,2017-01-20
53192,Tamara,Pavlović,Ž,1990-03-21,clan-53192@seds.data,2017-08-07
53193,Tamara,Jovanović,Ž,1990-01-11,clan-53193@seds.data,2017-09-05
53194,Ivana,Nikolić,Ž,1998-04-08,clan-53194@seds.data,2018-05-11
53195,Ana,Jovanović,Ž,1960-04-11,clan-53195@seds.data,2017-06-30
53197,Jelena,Petrović,Ž,1960-09-28,clan-53197@seds.data,2017-02-27
53199,Jelena,Pavlović,Ž,1951-05-18,clan-53199@seds.data,2017-07-06
53200,Marija,Marković,Ž,1970-12-16,clan-53200@seds.data,2017-04-21
53201,Jelena,Pavlović,Ž,1998-07-01,clan-53201@seds.data,2017-04-14
53202,Ana,Jovanović,Ž,1970-06-03,clan-53202@seds.data,2017-12-09
53203,Aleksandar,Pavlović,M,1980-03-31,clan-53203@seds.data,2017-04-25
