clan_id,ime,prezime,pol,datum_rodjenja,email,datum_uclanjenja
106325,Milan,Pavlović,M,1980-09-06,clan-106325@seds.data,2017-12-13
106326,Stefan,Jovanović,M,1998-04-11,clan-106326@seds.data,2017-05-23
106327,Stefan,Marković,M,1970-05-06,clan-106327@seds.data,2016-11-13
106328,Tamara,Stojanović,Ž,1998-10-28,clan-106328@seds.data,2017-10-03
106329,Marko,Jovanović,M,1998-08-06,clan-106329@seds.data,2017-07-02
106330,Jelena,Petrović,Ž,1960-07-05,clan-106330@seds.data,2017-11-07
106332,Ana,Petrović,Ž,1970-07-16,clan-106332@seds.data,2016-09-17
106333,Marija,Ilić,Ž,1998-03-16,clan-106333@seds.data,2017-05-13
106334,Jelena,Stojanović,Ž,1990-05-02,clan-106334@seds.data,2017-06-16
106335,Stefan,Jovanović,M,1998-11-30,clan-106335@seds.data,2016-03-12
106336,Aleksandar,Stojanović,N,1980-02-23,clan-106336@seds.data,2017-01-30
106337,Aleksandar,Marković,M,1960-01-28,clan-106337@seds.data,2016-06-24
106338,Stefan,Nikolić,M,1990-10-30,clan-106338@seds.data,2019-06-05
106339,Tamara,Ilić,Ž,1998-06-14,clan-106339@seds.data,2017-06-14
106340,Ivana,Petrović,Ž,1998-12-09,clan-106340@seds.data,2016-05-18
106341,Marko,Nikolić,M,1960-07-28,clan-106341@seds.data,2017-06-18
106342,Luka,Jovanović,M,1998-08-09,clan-106342@seds.data,2016-10-15
106343,Stefan,Ilić,M,1980-02-11,clan-106343@seds.data,2016-11-27
106344,Milica,Petrović,Ž,1970-09-04,clan-106344@seds.data,2017-06-05
106346,Tamara,Stojanović,Ž,1980-05-16,clan-106346@seds.data,2016-12-04
106347,Tamara,Jovanović,Ž,1960-07-10,clan-106347@seds.data,2017-08-28
106348,Ivana,Ilić,Ž,1980-10-17,clan-106348@seds.data,2017-05-04
106349,Luka,Marković,M,1998-06-19,clan-106349@seds.data,2017-08-04
106350,Tamara,Stojanović,Ž,1990-07-04,clan-106350@seds.data,2018-02-27
106351,Aleksandar,Ilić,M,1991-01-03,clan-106351@seds.data,2018-03-10
106352,Jelena,Petrović,Ž,1970-10-16,clan-106352@seds.data,2016-11-14
106353,Milan,Marković,M,1980-05-28,clan-106353@seds.data,2017-03-26
106354,Ivana,Jovanović,Ž,1970-10-05,clan-106354@seds.data,2018-05-15
106355,Luka,Marković,M,1998-08-25,clan-106355@seds.data,2016-10-29
106356,Jelena,Nikolić,Ž,1960-03-26,clan-106356@seds.data,2016-09-04
106358,Marija,Ilić,Ž,1951-06-15,clan-106358@seds.data,2016-05-06
106359,Marija,Stojanović,Ž,1980-01-30,clan-106359@seds.data,2018-01-28
106361,Ana,Marković,Ž,1980-06-12,clan-106361@seds.data,2016-09-05
106362,Luka,Pavlović,M,1998-09-20,clan-106362@seds.data,2017-11-24
106363,Milica,Ilić,Ž,1998-09-20,clan-106363@seds.data,2016-04-27
106364,Ivana,Ilić,Ž,1998-10-30,clan-106364@seds.data,2017-02-24
106365,Luka,Marković,M,1990-11-11,clan-106365@seds.data,2018-03-28
106366,Ivana,Ilić,Ž,1980-03-11,clan-106366@seds.data,2016-04-22
106367,Ana,Ilić,Ž,1990-03-21,clan-106367@seds.data,2017-11-24
106368,Luka,Petrović,M,1951-05-06,clan-106368@seds.data,2017-05-09
106369,Marija,Pavlović,Ž,1998-04-08,clan-106369@seds.data,2017-04-21
106370,Ivana,Ilić,Ž,1998-09-05,clan-106370@seds.data,2017-04-03
106371,Jelena,Stojanović,Ž,1970-12-29,clan-106371@seds.data,2016-08-30
106372,Jelena,Jovanović,Ž,1998-09-30,clan-106372@seds.data,2018-12-31
106373,Jelena,Pavlović,Ž,1970-09-26,clan-106373@seds.data,2017-07-16
106374,Jelena,Ilić,Ž,1980-12-23,clan-106374@seds.data,2016-12-30
106375,Tamara,Pavlović,Ž,1951-04-16,clan-106375@seds.data,2017-05-31
106376,Ana,Jovanović,Ž,1990-09-26,clan-106376@seds.data,2016-08-09
106377,Tamara,Pavlović,Ž,1970-04-07,clan-106377@seds.data,2017-11-14
106378,Ana,Petrović,Ž,1998-11-12,clan-106378@seds.data,2017-12-07
106379,Marija,Jovanović,Ž,1990-05-15,clan-106379@seds.data,2017-08-10
106380,Marija,Pavlović,Ž,1998-01-06,clan-106380@seds.data,2017-02-04
106381,Aleksandar,Nikolić,N,1990-11-12,clan-106381@seds.data,2016-12-22
106382,Stefan,Pavlović,M,1998-11-11,clan-106382@seds.data,2017-02-20
106383,Tamara,Petrović,Ž,1990-02-17,clan-106383@seds.data,2016-02-20
106384,Milica,Jovanović,Ž,1998-07-07,clan-106384@seds.data,2016-11-05
106385,Marija,Petrović,Ž,1998-06-28,clan-106385@seds.data,2017-04-09
106386,Ana,Jovanović,Ž,1998-12-19,clan-106386@seds.data,2016-03-08
106387,Jelena,Pavlović,Ž,1998-09-27,clan-106387@seds.data,2016-11-09
106388,Ana,Petrović,Ž,1960-05-19,clan-106388@seds.data,2017-03-15
106389,Stefan,Pavlović,M,1960-10-24,clan-106389@seds.data,2019-04-08
106390,Jelena,Pavlović,Ž,1998-09-06,clan-106390@seds.data,2016-12-15
106391,Marija,Ilić,Ž,1960-12-27,clan-106391@seds.data,2016-06-14
106392,Jelena,Petrović,Ž,1960-10-26,clan-106392@seds.data,2017-10-13
106393,Ana,Petrović,Ž,1998-04-11,clan-106393@seds.data,2017-07-03
106394,Jelena,Marković,Ž,1990-06-04,clan-106394@seds.data,2017-08-09
106395,Marko,Marković,M,1998-11-18,clan-106395@seds.data,2017-02-20
106396,Jelena,Stojanović,Ž,1999-01-03,clan-106396@seds.data,2017-03-01
